growth_stage,temperature,humidity,rainfall,forecast_rainfall,wind_speed,solar_radiation,pressure,cloud_cover,dew_point,soil_moisture,soil_temperature,soil_ph,nitrogen,phosphorus,potassium,organic_matter,ec,leaf_wetness,evapotranspiration,ndvi,crop_age_days,water_usage,pest_risk,disease_risk,crop_health_index,previous_yield,groundwater_level,reservoir_level,fertilizer_usage,labor_hours,water_quantity_required_liters,future_soil_moisture_3day,crop_water_stress_level,irrigation_required,yield_prediction,crop_type_Maize,crop_type_Rice,crop_type_Sugarcane,crop_type_Wheat,region_North,region_South,region_West,soil_type_Loamy,soil_type_Sandy,soil_type_Silty,irrigation_type_Flood,irrigation_type_Sprinkler
2,25.79,34.11,138.46,74.21,6.27,873.85,962.53,14.89,1.65,40.06,39.59,7.83,110,49,133,2.1,0.32,76.27,11.14,0.632,45,812.43,74,14,51.36,5.89,2.55,34.87,120.46,15.34,35.99,42.13,1,0,5.44,0,1,0,0,1,0,0,0,1,0,0,1
1,38.39,82.33,263.52,12.79,29.96,478.37,952.34,74.57,10.44,36.86,12.95,5.34,14,30,39,2.76,0.55,51.5,2.95,0.823,43,918.5,38,24,70.68,2.81,45.36,89.81,52.32,4.75,29.09,32.12,2,0,6.43,0,0,0,0,0,0,1,0,0,1,1,0
1,42.64,34.51,245.81,70.36,10.23,793.41,956.72,17.13,10.79,21.54,20.35,4.89,127,52,50,1.44,0.2,36.88,8.78,0.904,111,340.64,77,77,44.95,3.39,11.09,73.21,53.6,4.91,72.61,20.77,0,0,6.04,1,0,0,0,0,0,1,0,1,0,1,0
3,22.83,36.98,141.35,25.31,19.23,564.79,1025.02,20.65,1.13,5.63,18.33,5.01,35,13,143,1.72,1.12,13.05,10.77,0.293,143,491.87,55,1,74.19,6.52,31.5,67.36,66.28,6.62,94.6,4.23,0,0,3.8,0,1,0,0,0,0,1,0,1,0,0,0
2,39.91,26.31,183.25,18.88,26.22,575.8,1020.44,60.16,19.43,57.59,39.81,8.09,38,71,142,0.85,0.16,96.64,11.15,0.228,33,672.33,93,17,66.17,4.59,27.51,58.22,182.56,18.32,45.07,53.11,2,0,3.14,0,0,0,1,0,0,0,0,1,0,1,0
2,23.04,31.74,188.91,75.92,27.67,713.66,1024.61,42.65,4.26,42.53,35.76,6.44,51,6,33,7.74,0.99,40.39,3.97,0.834,55,504.35,3,23,45.64,4.93,38.36,38.9,41.99,9.07,16.93,45.15,1,0,7.49,1,0,0,0,0,1,0,1,0,0,0,0
3,25.3,67.42,32.95,95.97,12.3,401.91,980.72,89.47,10.4,76.26,32.15,7.49,55,45,106,5.27,0.72,91.12,3.82,0.2,40,75.33,40,8,70.15,8.83,42.06,12.92,155.32,11.24,26.23,80.14,1,0,3.97,1,0,0,0,1,0,0,0,0,0,1,0
0,20.96,53.69,85.47,10.89,29.28,953.96,958.99,59.67,29.43,8.31,37.53,6.45,83,80,84,6.18,2.05,5.95,1.47,0.374,87,500.62,54,23,93.38,6.91,29.94,48.84,289.02,8.01,72.48,6.04,0,1,4.88,0,1,0,0,0,1,0,0,0,0,1,0
2,30.21,79.32,90.29,16.4,21.74,460.37,1021.43,18.24,27.9,30.28,37.47,7.99,101,29,112,3.21,1.98,87.75,9.52,0.321,72,768.89,24,19,71.26,2.55,33.56,80.35,198.28,3.39,56.19,27.06,2,1,4.06,0,0,0,0,0,0,1,0,0,1,0,1
1,40.3,44.9,113.44,21.92,17.5,458.24,1042.25,47.47,7.84,78.88,15.96,6.36,29,47,43,6.03,1.37,2.1,9.13,0.694,70,449.68,72,76,49.76,4.76,6.95,55.36,16.75,3.43,44.83,74.59,1,0,5.92,0,0,0,1,0,0,1,1,0,0,0,1
3,30.84,92.65,82.18,96.29,20.8,736.68,995.22,72.67,9.45,51.57,20.24,7.97,53,75,113,4.87,2.19,40.18,5.99,0.838,22,979.96,46,34,77.78,9.78,29.69,11.31,118.77,17.98,32.54,54.65,1,0,6.82,1,0,0,0,0,1,0,0,0,0,1,0
0,18.7,23.74,75.45,69.64,10.8,672.63,1026.43,60.01,16.21,31.37,11.45,5.58,107,26,73,6.28,1.13,8.9,6.44,0.298,58,710.53,22,44,99.8,4.41,49.47,52.09,217.0,19.04,39.6,34.14,2,0,4.31,0,0,0,0,0,1,0,0,0,1,0,1
1,22.55,24.72,106.44,67.83,12.73,996.2,1022.81,32.12,8.58,19.89,19.26,4.75,102,81,52,6.19,0.54,60.06,4.95,0.259,130,51.9,20,92,40.76,7.41,35.27,48.1,115.78,13.79,58.82,21.93,2,0,3.61,0,0,0,1,0,1,0,0,0,1,1,0
2,31.89,72.6,113.77,50.5,17.59,865.21,1035.37,38.64,21.77,9.9,31.41,5.65,122,83,130,5.43,0.22,36.61,10.74,0.673,162,707.31,70,23,94.42,7.7,1.41,74.72,71.87,13.44,95.48,9.16,0,0,6.22,0,0,1,0,0,0,1,0,1,0,0,0
0,32.5,86.57,146.17,53.76,9.81,356.13,952.84,66.56,17.01,74.21,31.39,6.97,63,71,125,5.76,0.23,84.64,5.72,0.716,27,894.5,70,63,67.24,6.13,47.27,90.41,34.43,7.63,30.13,73.64,1,0,6.1,0,0,1,0,0,0,1,1,0,0,1,0
1,32.31,79.66,52.06,29.02,23.06,191.4,1045.53,51.9,14.18,35.1,23.34,7.95,11,34,91,3.75,1.66,28.88,5.19,0.134,2,633.58,38,61,89.43,1.6,19.77,41.46,34.51,16.62,42.44,32.58,2,0,2.81,0,0,0,1,1,0,0,0,0,0,1,0
3,17.31,56.74,236.5,15.45,7.53,195.96,1036.54,7.38,28.72,75.87,15.06,5.59,75,34,125,4.62,2.48,97.63,3.65,0.553,89,653.84,78,47,40.43,7.45,33.7,56.33,57.05,16.94,9.32,74.51,1,0,5.22,0,1,0,0,1,0,0,1,0,0,0,1
0,37.61,40.22,258.2,78.03,23.9,425.45,1037.65,54.87,6.52,31.35,11.36,4.81,103,38,78,1.96,1.85,71.47,11.89,0.459,177,75.93,77,74,77.21,3.84,8.55,19.17,134.88,18.8,56.53,31.95,2,0,3.95,0,0,0,1,0,0,1,1,0,0,0,1
0,42.28,21.01,74.45,47.07,4.56,529.47,1049.64,45.48,25.76,75.72,17.47,6.23,83,54,60,3.03,1.08,30.7,7.33,0.828,88,513.92,22,22,41.71,2.78,9.71,60.99,105.22,3.65,44.76,73.14,1,0,6.53,0,0,0,1,0,1,0,0,0,0,0,0
3,30.32,58.21,36.99,25.6,6.52,673.41,1013.95,81.49,21.82,65.73,12.49,8.22,41,94,33,4.88,1.65,78.97,1.81,0.278,51,439.69,25,65,96.38,5.83,44.34,43.75,274.83,9.13,26.03,63.23,1,0,3.72,0,1,0,0,0,1,0,0,0,0,0,0
2,36.56,55.67,216.69,63.28,22.59,871.95,958.17,11.23,6.04,29.53,39.71,6.24,60,64,39,2.74,2.6,81.99,9.04,0.357,25,666.13,49,46,54.44,8.49,4.57,94.59,136.22,19.52,55.34,29.11,2,0,3.87,0,1,0,0,1,0,0,1,0,0,0,0
2,42.42,45.82,277.27,20.95,7.89,990.59,1032.28,0.1,5.55,36.91,14.4,5.78,24,8,33,4.01,2.51,5.29,11.72,0.378,82,71.25,5,25,89.4,9.07,19.36,58.75,289.12,12.35,49.07,32.22,2,0,4.44,0,0,0,0,0,0,1,0,0,1,1,0
0,34.28,63.36,10.54,48.88,23.86,467.84,963.49,82.08,17.33,75.75,34.36,7.27,47,96,31,5.58,1.93,0.96,9.64,0.354,135,721.85,69,30,49.78,8.95,33.65,90.18,200.78,2.04,46.18,74.52,1,0,4.59,0,0,0,0,1,0,0,1,0,0,0,0
0,35.23,74.66,4.33,19.02,23.52,591.02,1023.79,21.12,2.4,60.81,21.18,6.17,69,5,55,7.83,1.95,78.64,10.02,0.863,61,913.17,58,4,76.41,6.65,45.2,10.67,22.85,13.56,48.01,57.05,1,0,7.84,0,1,0,0,1,0,0,0,0,0,0,0
0,36.64,72.57,55.03,75.97,7.72,640.67,992.4,3.15,14.42,65.37,28.58,7.3,118,19,59,4.7,1.46,88.79,7.46,0.889,2,678.2,37,26,71.96,4.6,12.83,32.73,184.71,19.18,41.48,65.95,1,0,7.13,0,0,1,0,0,0,0,1,0,0,0,1
1,22.82,39.74,205.44,32.08,2.19,602.71,950.66,22.1,10.12,52.04,26.13,4.98,55,5,97,5.17,2.98,5.78,4.29,0.808,38,68.32,23,69,71.8,9.4,30.91,52.09,27.71,5.61,16.56,51.18,1,0,6.38,0,0,1,0,0,0,0,0,0,0,0,1
0,32.48,63.9,289.43,44.17,4.99,181.28,993.58,88.6,25.52,9.53,11.69,6.33,138,75,26,1.05,2.16,80.26,6.97,0.814,61,594.08,61,23,40.21,7.46,6.56,26.07,286.92,4.46,80.3,8.19,0,0,6.05,0,0,0,1,0,0,0,0,0,1,0,0
2,40.27,31.16,225.11,75.49,22.58,203.54,1029.67,17.12,17.9,69.49,37.2,4.82,52,10,100,3.8,1.65,44.25,3.63,0.592,146,987.26,11,61,98.75,9.56,6.02,59.46,295.99,4.56,28.22,69.49,1,0,5.11,1,0,0,0,0,1,0,1,0,0,0,0
3,23.88,29.12,171.91,65.96,25.41,899.88,958.74,32.0,19.21,63.34,37.01,7.29,39,98,102,5.62,2.72,80.97,3.69,0.632,130,420.14,90,29,61.59,8.38,13.92,23.42,177.83,17.44,17.89,65.03,1,0,5.99,0,0,0,1,0,0,1,0,0,1,1,0
3,41.92,78.94,210.16,39.97,11.49,708.03,950.22,61.06,9.8,47.86,18.94,7.54,54,88,52,2.05,0.66,5.55,2.34,0.181,4,570.85,42,37,75.07,9.41,17.43,62.37,295.11,12.12,27.71,44.77,2,0,2.94,0,0,0,1,0,0,1,1,0,0,1,0
3,33.61,72.03,69.21,7.1,4.93,710.88,995.28,17.95,6.5,57.13,14.0,5.07,18,81,51,1.86,0.32,26.9,11.39,0.366,84,720.11,36,12,86.73,8.18,32.86,11.58,14.58,10.83,46.21,52.66,1,0,4.08,1,0,0,0,0,0,1,1,0,0,0,1
0,27.7,77.59,206.57,92.16,2.26,833.3,950.15,64.51,16.11,22.35,13.04,4.75,113,37,139,7.75,0.43,28.98,2.24,0.623,173,514.05,95,1,90.83,2.17,45.57,14.47,122.17,1.63,48.08,25.57,2,0,6.66,0,1,0,0,0,0,1,0,0,0,0,0
0,33.7,31.43,96.43,0.79,6.47,175.73,1043.47,70.67,28.34,74.44,35.34,6.13,64,18,17,0.76,2.84,35.34,0.54,0.773,118,636.64,3,3,51.54,7.93,23.98,29.47,46.98,7.12,23.22,69.45,1,0,5.99,0,0,1,0,0,0,0,0,1,0,0,0
3,27.06,88.6,66.73,73.46,29.39,473.93,1032.49,23.1,17.85,21.06,27.51,7.84,50,14,127,7.41,0.21,39.9,9.63,0.135,80,435.06,63,99,51.14,6.25,3.13,42.57,223.69,3.03,71.66,22.88,2,0,3.17,0,0,0,1,0,1,0,0,0,0,0,0
1,40.14,29.98,70.97,94.54,5.11,322.01,1013.01,9.62,0.58,55.48,21.23,5.41,111,46,114,7.48,1.89,1.87,7.51,0.857,42,333.53,30,82,75.96,7.4,41.91,33.75,212.64,1.43,43.58,57.02,1,0,6.96,1,0,0,0,0,1,0,1,0,0,0,0
1,29.47,85.25,200.34,30.67,2.59,694.73,951.73,40.2,28.91,40.64,20.23,6.8,20,34,89,5.83,2.61,25.28,3.76,0.395,108,939.57,14,1,93.28,4.65,7.13,18.44,31.67,15.63,21.08,38.67,1,0,5.13,0,0,0,0,0,0,0,0,1,0,0,0
1,42.04,46.43,230.17,7.54,23.56,293.44,1006.98,69.86,25.01,46.33,26.39,5.25,35,6,74,1.03,1.56,65.01,2.58,0.818,72,116.44,41,56,73.1,7.23,46.91,25.8,131.63,7.58,27.28,40.63,2,0,5.74,0,0,0,1,0,1,0,0,1,0,1,0
1,30.29,27.91,174.54,24.95,18.46,722.91,1017.11,81.35,26.51,20.42,18.16,7.11,19,6,112,4.28,0.85,31.8,7.93,0.43,61,728.9,16,40,77.41,5.3,21.47,49.8,75.05,14.3,66.61,17.87,2,1,4.61,0,0,1,0,0,0,0,0,0,1,1,0
2,34.81,41.51,19.16,31.34,16.04,449.11,1008.74,3.67,13.58,18.57,10.59,5.27,77,93,31,1.43,2.34,12.45,8.9,0.256,135,946.71,30,73,65.45,5.98,15.06,21.53,77.65,5.35,83.26,15.86,0,0,2.84,0,1,0,0,0,0,1,1,0,0,0,0
3,44.93,33.61,11.4,45.13,13.44,495.46,1044.69,53.66,26.89,29.64,22.45,5.94,44,5,33,0.76,2.86,40.75,7.64,0.666,101,553.87,100,38,64.71,8.85,43.43,63.48,228.22,19.65,69.3,26.51,0,0,5.1,0,0,0,1,0,0,0,0,0,0,1,0
2,19.41,56.8,65.15,52.52,21.06,836.21,1033.13,25.74,7.77,7.22,36.28,7.39,63,34,27,6.11,0.51,66.26,6.07,0.637,89,259.47,96,78,60.9,3.54,29.02,25.48,164.18,2.99,83.41,8.51,0,0,5.63,0,0,0,1,0,0,1,0,1,0,1,0
0,37.1,91.23,85.94,72.53,20.95,413.35,986.51,41.61,24.05,14.09,34.09,7.08,110,91,66,6.31,2.22,91.45,0.64,0.805,113,287.71,86,21,56.49,9.72,24.48,53.46,18.89,14.36,73.3,14.33,0,0,7.08,1,0,0,0,0,0,1,0,1,0,0,0
1,19.17,44.59,121.45,90.09,12.73,330.94,1019.48,52.88,18.38,32.31,37.35,6.24,33,98,59,1.46,2.27,33.55,8.05,0.786,38,111.02,43,37,49.37,5.6,49.84,70.6,27.74,15.48,39.21,36.64,2,0,5.85,0,0,0,0,1,0,0,0,0,0,1,0
1,40.17,65.91,22.81,46.48,7.03,865.24,996.11,73.52,28.58,50.59,29.93,5.91,119,18,146,5.0,1.92,29.71,5.82,0.561,5,127.23,99,12,88.57,1.14,21.24,98.88,251.4,18.49,42.64,48.28,2,0,5.68,0,0,0,0,0,0,0,0,0,0,0,0
3,32.89,86.88,217.55,74.63,25.24,716.86,1042.83,3.98,8.89,31.39,11.49,8.06,36,59,75,7.58,0.98,91.7,5.89,0.302,28,622.03,28,17,89.78,7.02,22.51,24.05,230.62,5.17,42.71,32.43,2,0,4.86,0,1,0,0,1,0,0,0,1,0,1,0
1,43.14,67.26,213.45,12.72,4.94,463.51,1011.81,17.04,3.71,10.49,24.0,5.09,115,55,146,1.89,0.44,97.08,4.88,0.23,13,181.34,45,73,73.07,5.0,22.34,48.06,48.75,11.92,86.72,5.04,0,1,2.8,0,0,1,0,0,0,0,0,0,0,0,0
3,40.98,47.16,104.0,32.88,16.02,548.7,1008.21,61.63,21.51,65.05,10.64,6.41,68,80,149,5.54,0.2,28.1,7.02,0.296,21,968.69,20,26,81.6,9.93,26.98,50.03,34.49,9.06,41.62,61.53,1,0,4.33,0,1,0,0,0,0,0,0,0,1,0,0
0,17.25,94.31,168.9,11.81,20.78,413.07,1000.07,44.09,29.58,16.85,39.09,6.49,122,33,106,7.91,2.23,89.11,1.79,0.844,164,895.7,87,81,83.21,7.98,32.23,30.72,169.52,10.78,50.6,15.21,0,1,6.99,0,0,0,1,1,0,0,0,1,0,1,0
1,19.12,34.06,30.27,69.17,19.17,596.09,987.77,20.99,4.37,9.19,30.43,5.83,133,101,101,3.52,1.89,38.99,4.41,0.798,69,502.93,31,76,76.05,8.22,46.26,14.23,117.52,13.07,78.06,11.86,0,0,5.93,0,0,0,1,1,0,0,0,0,1,1,0
1,33.04,59.24,124.57,90.76,18.56,224.83,964.81,6.5,3.05,31.41,10.49,7.95,35,28,133,0.92,1.01,63.65,6.45,0.135,28,422.43,26,28,70.1,9.19,21.16,24.46,280.03,6.9,48.57,33.71,2,0,2.58,0,0,0,0,0,0,0,1,0,0,0,1
2,30.55,79.75,257.27,88.91,19.88,899.6,977.39,91.48,12.92,39.8,38.87,4.54,102,81,37,3.08,0.79,91.68,4.99,0.778,166,918.76,61,38,43.48,6.21,49.27,47.69,149.2,15.26,21.92,42.33,1,0,6.13,0,0,1,0,0,1,0,0,0,1,0,0
3,20.06,20.05,198.19,32.64,26.27,598.64,983.25,36.29,21.61,71.92,21.19,7.86,93,10,114,7.54,1.58,1.12,1.69,0.129,143,831.16,14,59,88.42,6.81,24.46,15.07,198.18,10.98,9.52,71.52,1,0,3.56,1,0,0,0,0,0,1,0,0,0,0,0
3,18.88,72.65,31.18,23.42,10.96,446.74,965.4,41.06,17.9,23.6,14.47,5.48,33,118,28,3.54,0.13,22.26,6.47,0.226,78,604.07,4,49,72.7,6.91,7.32,40.33,240.82,6.16,56.0,22.64,2,1,3.35,0,0,1,0,1,0,0,0,1,0,0,0
1,31.92,39.99,254.27,27.41,18.82,614.43,1031.27,4.91,28.2,49.02,31.85,4.56,110,28,130,4.84,1.57,83.32,1.97,0.29,107,650.21,19,20,85.66,9.79,9.33,97.7,262.24,13.55,16.76,46.42,1,0,4.22,0,0,0,1,0,0,1,0,0,1,0,0
2,16.47,32.73,204.21,28.73,20.91,245.07,950.22,73.86,24.28,25.69,14.58,6.57,138,16,58,0.96,1.47,82.21,3.26,0.196,153,672.4,42,53,53.3,5.37,28.72,53.09,60.95,7.8,35.24,25.52,2,0,2.64,1,0,0,0,0,1,0,0,0,0,1,0
1,41.21,40.56,135.92,8.22,17.71,170.63,1041.58,99.22,17.18,14.04,16.65,5.58,136,46,19,6.2,1.11,8.35,8.47,0.21,138,227.88,6,88,48.3,5.61,3.01,50.94,39.12,17.39,89.84,8.52,0,1,3.41,0,0,1,0,0,1,0,0,0,0,1,0
3,39.21,92.51,207.63,13.33,27.09,593.31,962.83,97.83,10.83,52.81,12.62,6.29,96,119,83,6.2,0.84,55.03,4.14,0.169,48,686.55,97,43,88.66,3.17,38.05,92.42,187.39,17.78,29.27,47.99,2,0,3.66,0,0,1,0,0,1,0,0,0,1,0,1
3,38.56,86.9,51.85,21.45,19.64,163.45,955.1,31.12,25.06,61.19,31.05,5.75,111,19,9,4.89,0.74,28.75,3.04,0.672,65,535.79,54,3,50.75,8.4,18.79,37.74,91.01,13.64,34.34,57.12,1,0,6.31,1,0,0,0,1,0,0,0,1,0,0,0
1,15.48,36.03,165.15,0.82,12.73,694.78,1049.52,96.11,14.65,45.79,16.37,5.73,90,28,105,1.28,0.96,53.22,5.31,0.142,158,364.52,68,57,51.4,9.1,4.92,92.3,195.81,8.88,14.75,43.53,1,0,2.4,0,0,0,1,0,1,0,0,0,1,0,1
0,16.43,28.78,185.38,4.72,25.37,820.22,1049.98,40.77,26.25,30.25,34.47,7.49,120,97,19,4.88,1.22,60.55,11.51,0.644,94,515.81,28,43,75.17,2.82,20.79,36.07,164.7,10.21,44.45,28.16,2,1,5.77,0,0,1,0,1,0,0,1,0,0,0,1
1,31.5,47.31,278.32,69.86,14.69,989.53,969.18,38.72,18.02,79.09,28.6,7.76,80,5,110,0.52,1.64,5.64,5.61,0.641,168,608.67,3,86,71.07,5.44,38.4,77.37,264.86,17.37,22.5,79.95,1,0,4.45,1,0,0,0,0,1,0,0,0,1,0,1
2,44.83,64.43,20.07,61.93,15.9,792.32,963.38,83.17,21.21,7.51,21.68,7.43,73,65,121,7.8,2.65,5.18,8.45,0.394,25,440.88,34,20,52.79,5.25,14.03,83.93,185.89,3.94,110.24,5.74,0,0,5.33,0,0,0,1,0,0,1,0,0,1,0,1
3,25.27,85.04,112.43,94.54,17.47,976.71,969.78,79.18,1.4,46.44,39.16,6.62,35,38,119,5.23,0.15,68.56,3.49,0.386,62,391.33,30,61,40.94,8.46,41.47,37.72,189.1,11.12,21.57,50.21,1,0,4.37,1,0,0,0,0,0,1,0,1,0,0,1
3,25.33,92.46,281.04,40.18,9.68,119.96,1001.13,47.49,29.71,55.16,15.92,7.01,58,23,69,1.38,0.31,33.3,3.08,0.186,170,401.72,83,9,83.73,3.18,12.43,83.7,22.17,18.46,12.37,54.57,1,0,3.12,1,0,0,0,0,0,0,0,0,1,1,0
1,19.03,76.34,65.17,44.43,21.68,602.96,982.12,44.74,22.64,36.76,32.85,8.4,116,44,74,0.62,2.63,83.1,9.56,0.414,133,634.12,15,58,78.21,8.42,48.75,10.5,132.62,13.75,36.92,37.46,1,0,3.61,0,0,1,0,0,0,1,0,0,0,1,0
0,35.23,64.93,243.96,6.77,2.94,248.26,983.64,96.84,17.46,15.01,14.6,5.65,79,19,74,2.27,1.92,23.79,7.13,0.127,97,717.88,26,99,56.66,7.79,12.06,82.15,284.03,9.57,75.23,10.27,0,1,2.1,0,0,0,1,0,0,0,0,1,0,0,1
3,34.4,30.67,0.48,15.23,26.07,320.62,1030.96,40.85,15.97,18.38,16.69,4.86,48,109,49,6.46,0.18,45.45,3.6,0.466,179,442.2,70,22,48.99,7.59,19.39,10.35,274.3,14.71,73.61,14.44,0,1,5.4,0,0,1,0,0,0,1,0,0,0,1,0
1,18.04,25.55,7.77,69.16,22.64,761.08,1039.02,86.17,17.98,75.93,13.85,7.44,50,102,109,3.05,2.23,32.89,3.8,0.933,72,984.86,43,23,86.21,7.27,44.68,91.79,214.22,12.44,21.64,78.76,1,0,7.04,0,1,0,0,1,0,0,0,1,0,1,0
0,29.02,64.7,98.29,23.5,10.61,327.54,1046.98,74.64,1.38,72.87,38.07,5.82,13,61,67,6.75,2.16,60.64,8.62,0.186,92,937.61,71,96,65.88,7.55,45.86,60.26,282.88,8.71,35.54,70.4,1,0,3.32,0,1,0,0,0,0,1,1,0,0,0,1
1,35.01,60.43,230.55,77.33,6.79,261.83,1001.47,10.69,10.94,18.13,24.24,5.87,23,64,87,1.89,1.3,41.38,9.41,0.857,5,432.18,99,44,52.46,4.23,20.72,74.85,70.08,17.4,74.67,19.06,0,0,6.22,0,0,0,1,0,0,0,1,0,0,1,0
1,29.81,83.46,31.24,70.57,11.64,434.66,974.61,15.9,2.68,9.38,35.13,8.27,126,110,111,7.05,2.51,87.17,1.95,0.143,84,766.9,69,49,98.73,7.73,28.03,13.25,214.87,6.24,81.3,10.55,0,0,3.64,1,0,0,0,0,0,0,1,0,0,1,0
1,35.23,44.2,114.86,74.73,24.15,174.93,1005.49,3.75,5.26,17.95,11.69,5.59,34,19,130,4.46,1.25,43.29,7.67,0.716,64,587.86,89,3,57.71,3.19,14.29,34.41,23.15,7.82,77.47,18.64,0,0,6.44,0,0,1,0,0,1,0,0,0,1,0,0
3,39.49,22.98,39.44,69.06,0.95,231.84,1037.11,3.52,9.99,70.86,27.52,4.59,62,52,29,6.57,0.51,58.18,7.17,0.878,48,731.23,46,38,96.37,6.33,34.11,14.8,153.91,17.33,43.96,70.46,1,0,7.32,0,0,1,0,1,0,0,1,0,0,0,1
